IRSZ;nev;utotag;ker
1016;Berényi;utca;I
1138;Berettyó;utca;XIII
1025;Berkenye;utca;II
1201;Berkenye;sétány;XX
1222;Bérkocsi;utca;XXII
1084;Bérkocsis;utca;VIII
1171;Berky Lili;utca;XVII
1045;Berlini;utca;IV
1038;Bernát;utca;III
1045;Berni;utca;IV
1111;Bertalan Lajos;utca;XI
1172;Bertóti;utca;XVII
1094;Berzenczey;utca;IX
1041;Berzeviczy Gergely;utca;IV
1042;Berzeviczy Gergely;utca;IV
1087;Berzsenyi;utca;VIII
1191;Berzsenyi;utca;XIX
1039;Berzsenyi Dániel;utca;III
1046;Berzsenyi Dániel;tér;IV
1174;Berzsenyi Dániel;utca;XVII
1184;Berzsenyi Dániel;utca;XVIII
1204;Berzsenyi Dániel;utca;XX
1186;Besence;utca;XVIII
1155;Besenyő;park;XV
1212;Besenyő Bekő;utca;XXI
1172;Besenyszög;utca;XVII
1143;Besnyői;utca;XIV
1149;Besnyői;utca;XIV
1133;Bessenyei;utca;XIII
1202;Bessenyei;utca;XX
1183;Bessenyei György;utca;XVIII
1034;Beszterce;utca;III
1182;Beszterce;utca;XVIII
1194;Beszterce;utca;XIX
1202;Beszterce;utca;XX
1183;Besztercebánya;utca;XVIII
1162;Besztercebányai;utca;XVI
1222;Besztercei;utca;XXII
1146;Bethesda;utca;XIV
1184;Bethlen;utca;XVIII
1038;Bethlen;utca;III
1204;Bethlen;utca;XX
1188;Bethlen Gábor;utca;XVIII
1028;Bethlen Gábor;utca;II
1071;Bethlen Gábor;tér;VII
1071;Bethlen Gábor;utca;VII
1077;Bethlen Gábor;utca;VII
1153;Bethlen Gábor;utca;XV
1191;Bethlen Gábor;utca;XIX
1212;Betű;utca;XXI
1237;Bevásárló;utca;XXIII
1116;Bezdán;utca;XI
1044;Bezerédi;utca;IV
1081;Bezerédi;utca;VIII
1181;Bezerédi;utca;XVIII
1154;Bezerédi Pál;utca;XV
1158;Bezsilla Nándor;utca;XV
1162;Bianka;utca;XVI
1223;Bíbic;utca;XXII
1237;Bíbic;köz;XXIII
1092;Biblia;utca;IX
1022;Bibó István;park;II
1149;Bíbor;utca;XIV
1111;Bicskei;utca;XI
1185;Bihar;utca;XVIII
1107;Bihari;utca;X
1055;Bihari János;utca;V
1119;Bikszádi;utca;XI
1112;Billegető;utca;XI
1185;Billentyű;utca;XVIII
